Timestamp,Event_Type,Side,Signal_State,Total_Vehicles,Cars,Trucks,Motorcycles,Emergency,Duration,Reason
2026-01-30 19:32:38,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:38,VEHICLE_COUNT,EAST,,3,3,0,0,False,,
2026-01-30 19:32:39,VEHICLE_COUNT,WEST,,8,4,4,0,False,,
2026-01-30 19:32:39,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:40,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:41,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:41,VEHICLE_COUNT,WEST,,1,1,0,0,False,,
2026-01-30 19:32:41,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:43,SIGNAL_CHANGE,SOUTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:44,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:44,VEHICLE_COUNT,SOUTH,,5,5,0,0,False,,
2026-01-30 19:32:44,VEHICLE_COUNT,NORTH,,11,11,0,0,True,,
2026-01-30 19:32:44,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:32:44,VEHICLE_COUNT,WEST,,6,5,1,0,False,,
2026-01-30 19:32:45,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:46,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:47,VEHICLE_COUNT,EAST,,2,2,0,0,True,,
2026-01-30 19:32:49,VEHICLE_COUNT,WEST,,10,9,1,0,False,,
2026-01-30 19:32:49,VEHICLE_COUNT,WEST,,5,4,1,0,False,,
2026-01-30 19:32:54,SIGNAL_CHANGE,WEST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:55,VEHICLE_COUNT,SOUTH,,2,2,0,0,False,,
2026-01-30 19:32:55,VEHICLE_COUNT,NORTH,,12,11,1,0,False,,
2026-01-30 19:32:55,VEHICLE_COUNT,EAST,,2,2,0,0,False,,
2026-01-30 19:32:55,VEHICLE_COUNT,WEST,,6,3,3,0,False,,
2026-01-30 19:32:55,SIGNAL_CHANGE,EAST,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:56,VEHICLE_COUNT,EAST,,4,3,1,0,False,,
2026-01-30 19:32:56,SIGNAL_CHANGE,NORTH,GREEN,,,,,True,0.0,EMERGENCY VEHICLE DETECTED - Immediate switch
2026-01-30 19:32:57,VEHICLE_COUNT,WEST,,9,5,4,0,False,,
2026-01-30 19:33:00,VEHICLE_COUNT,SOUTH,,9,7,2,0,False,,
2026-01-30 19:33:00,VEHICLE_COUNT,NORTH,,11,10,1,0,True,,
2026-01-30 19:33:00,VEHICLE_COUNT,EAST,,4,2,2,0,False,,
2026-01-30 19:33:00,VEHICLE_COUNT,WEST,,9,5,4,0,False,,
